Designator,Mid X,Mid Y,Rotation,Layer
SW1,91.04,-50.223653,0.0,top
SW10,148.14,-66.823653,0.0,top
SW11,167.24,-75.623653,0.0,top
SW12,186.24,-77.123653,0.0,top
SW13,91.04,-88.323653,0.0,top
SW14,110.04,-85.923653,0.0,top
SW15,129.14,-84.623653,0.0,top
SW16,148.14,-85.923653,0.0,top
SW17,167.24,-94.823653,0.0,top
SW18,186.24,-96.323653,0.0,top
SW19,91.04,-107.323653,0.0,top
SW2,110.04,-47.823653,0.0,top
SW20,110.04,-105.023653,0.0,top
SW21,129.14,-103.623653,0.0,top
SW22,148.14,-105.023653,0.0,top
SW23,167.24,-113.823653,0.0,top
SW24,186.29,-115.323653,0.0,top
SW25,70.54,-104.723653,0.0,top
SW26,76.5,-130.293653,300.0,top
SW27,98.42,-126.643653,15.0,top
SW28,119.54,-123.973653,0.0,top
SW29,138.64,-123.973653,0.0,top
SW3,129.14,-46.433653,0.0,top
SW30,157.74,-132.623653,0.0,top
SW31,205.24,-59.523653,0.0,top
SW32,205.24,-78.423653,0.0,top
SW33,205.24,-97.623653,0.0,top
SW34,205.24,-116.623653,0.0,top
SW35,185.920808,-134.775371,356.5,top
SW4,148.14,-47.823653,0.0,top
SW5,167.24,-56.723653,0.0,top
SW6,186.24,-58.223653,0.0,top
SW7,91.04,-69.323653,0.0,top
SW8,110.04,-66.923653,0.0,top
SW9,129.14,-65.523653,0.0,top
TH3,100.14,-59.823653,0.0,top
TH4,195.04,-66.823653,0.0,top
TH5,138.54,-75.473653,0.0,top
TH6,201.14,-128.923653,0.0,top
TH7,75.54,-115.023653,90.0,top
TH8,152.54,-115.723653,0.0,top
